Industry Group,year,Turnover £000s,mean IC markup,standard deviation,p10 IC markup,p25 IC markup,p50 IC markup,p75 IC markup,p90 IC markup
ALL,1997,1721184500,1.105,0.484,0.787,0.914,1.001,1.156,1.465
ALL,1998,1767279500,1.117,0.516,0.786,0.905,1.017,1.176,1.458
ALL,1999,1767737500,1.143,0.55,0.789,0.909,1.017,1.198,1.547
ALL,2000,1886924500,1.16,0.536,0.805,0.918,1.023,1.215,1.639
ALL,2001,1966274000,1.158,0.522,0.813,0.922,1.024,1.212,1.639
ALL,2002,1976627000,1.152,0.5,0.815,0.925,1.023,1.211,1.595
ALL,2003,2119807000,1.148,0.484,0.829,0.929,1.02,1.219,1.598
ALL,2004,2187458500,1.167,0.503,0.844,0.948,1.033,1.242,1.648
ALL,2005,2320877500,1.194,0.54,0.843,0.951,1.041,1.261,1.694
ALL,2006,2535507000,1.211,0.549,0.865,0.959,1.054,1.272,1.707
ALL,2007,2750772000,1.223,0.575,0.869,0.966,1.063,1.286,1.747
ALL,2008,3011829000,1.217,0.585,0.863,0.962,1.045,1.267,1.735
ALL,2009,2794302500,1.197,0.556,0.851,0.947,1.036,1.252,1.716
ALL,2010,2964614500,1.209,0.605,0.857,0.957,1.038,1.263,1.699
ALL,2011,3144121500,1.187,0.557,0.86,0.962,1.04,1.235,1.67
ALL,2012,3241867500,1.181,0.57,0.867,0.963,1.038,1.229,1.606
ALL,2013,3454333500,1.194,0.589,0.871,0.954,1.04,1.229,1.63
ALL,2014,3365780000,1.243,0.7,0.862,0.96,1.069,1.35,1.734
ALL,2015,3301224000,1.254,0.732,0.856,0.956,1.068,1.332,1.82
ALL,2016,3472412000,1.243,0.672,0.852,0.961,1.071,1.307,1.797
ALL,2017,3732852500,1.231,0.638,0.863,0.966,1.059,1.303,1.751
ALL,2018,3884671500,1.216,0.582,0.851,0.964,1.056,1.291,1.734
ALL,2019,4013776500,1.241,0.633,0.846,0.965,1.065,1.316,1.788
ALL,2020,3533038000,1.224,0.646,0.819,0.942,1.063,1.312,1.742
ALL,2021,4052391500,1.273,0.729,0.842,0.966,1.083,1.363,1.819