Date,pre_12,next_12
Nov-99,1.4,1.5
Feb-00,2.4,2.3
May-00,2.6,2.4
Aug-00,2.2,2.2
Nov-00,2.3,2.3
Feb-01,2.2,2.1
May-01,2.1,2.1
Aug-01,2.1,2.2
Nov-01,1.7,1.9
Feb-02,2,2.2
May-02,2.3,2.3
Aug-02,2.2,2.1
Nov-02,2.1,2.2
Feb-03,2.4,2.5
May-03,2.2,2.2
Aug-03,2.3,2.2
Nov-03,2.5,2.6
Feb-04,2.4,2.4
May-04,2.3,2.4
Aug-04,2.3,2.3
Nov-04,2.3,2.3
Feb-05,2.3,2.2
May-05,2,2
Aug-05,2.4,2.2
Nov-05,2.3,2.2
Feb-06,2.8,2.7
May-06,2.7,2.5
Aug-06,2.8,2.5
Nov-06,2.9,2.7
Feb-07,2.9,2.7
May-07,3.1,2.7
Aug-07,2.8,2.7
Nov-07,3.2,3
Feb-08,3.9,3.3
May-08,4.9,4.3
Aug-08,5.4,4.4
Nov-08,4.9,2.8
Feb-09,4.2,2.1
May-09,4,2.4
Aug-09,3.8,2.4
Nov-09,3.2,2.4
Feb-10,3.3,2.5
May-10,3.6,3.3
Aug-10,3.6,3.4
Nov-10,3.9,3.9
Feb-11,4.4,4
May-11,4.5,3.9
Aug-11,4.8,4.2
Nov-11,5.1,4.1
Feb-12,4.8,3.5
May-12,4.7,3.7
Aug-12,4.1,3.2
Nov-12,4.4,3.5
Feb-13,4.4,3.6
May-13,4.5,3.6
Aug-13,4,3.2
Nov-13,4.4,3.6
Feb-14,3.5,2.8
May-14,2.9,2.6
Aug-14,3.4,2.8
Nov-14,2.8,2.5
Feb-15,2.2,1.9
May-15,2.2,2.2
Aug-15,2.1,2
Nov-15,2,2
Feb-16,2,1.8
May-16,2.2,2
Aug-16,1.8,2.2
Nov-16,2.3,2.8
Feb-17,2.7,2.9
May-17,2.8,2.8
Aug-17,2.8,2.8
Nov-17,2.9,2.9
Feb-18,3.1,2.9
May-18,3.1,2.9
Aug-18,2.9,3
Nov-18,3.1,3.2
Feb-19,2.9,3.2
May-19,3.1,3.1
Aug-19,3.1,3.3
Nov-19,2.9,3.1
Feb-20,2.8,3
May-20,2.4,2.9
Aug-20,2.6,2.8
Nov-20,2.5,2.7
Feb-21,2.5,2.7
May-21,2.5,2.4
Aug-21,2.9,2.7
Nov-21,3.7,3.2
Feb-22,5,4.3
May-22,6.1,4.6
Aug-22,7.6,4.9
Nov-22,9.2,4.8
Feb-23,9.2,3.9
May-23,9.6,3.5