non-man prod,1997,78539000,1.65,1.058,0.918,0.962,1.199,2.033,2.856
non-man prod,1998,67435000,1.663,1.104,0.874,0.979,1.22,1.936,3.154
non-man prod,1999,78652000,1.611,1.004,0.897,0.977,1.168,1.898,3.371
non-man prod,2000,83560000,1.777,1.025,0.915,1.021,1.346,2.528,3.41
non-man prod,2001,88714500,1.729,0.979,0.896,1.003,1.333,2.191,3.576
non-man prod,2002,85004000,1.574,0.765,0.906,1.033,1.267,2.183,2.736
non-man prod,2003,86026000,1.664,0.883,0.929,0.974,1.276,2.166,3.197
non-man prod,2004,85260500,1.652,0.802,0.935,1.012,1.375,2.124,2.925
non-man prod,2005,122657000,1.683,0.914,0.89,1.029,1.307,2.284,2.985
non-man prod,2006,140216500,1.479,0.719,0.79,0.925,1.192,1.83,2.499
non-man prod,2007,147486000,1.555,1.005,0.808,1.023,1.168,1.877,2.613
non-man prod,2008,180885500,1.498,0.907,0.815,0.899,1.176,1.686,2.694
non-man prod,2009,164593500,1.302,0.631,0.807,0.929,1.09,1.448,2.155
non-man prod,2010,180029000,1.304,0.723,0.852,0.94,1.1,1.344,1.908
non-man prod,2011,187852000,1.268,0.843,0.782,0.907,1.036,1.273,1.933
non-man prod,2012,192072000,1.158,0.645,0.764,0.913,0.975,1.181,1.636
non-man prod,2013,197541000,1.201,0.767,0.735,0.874,0.954,1.191,1.68
non-man prod,2014,189383500,1.137,0.525,0.732,0.876,0.929,1.236,1.697
non-man prod,2015,174780000,1.127,0.49,0.778,0.871,0.972,1.206,1.628
non-man prod,2016,176345500,1.154,0.547,0.82,0.889,0.961,1.184,1.804
non-man prod,2017,182120000,1.194,0.601,0.804,0.873,0.919,1.306,1.974
non-man prod,2018,180750500,1.277,0.683,0.797,0.852,1.016,1.359,2.403
non-man prod,2019,189134500,1.285,0.734,0.802,0.845,1.008,1.321,2.286
non-man prod,2020,167926000,1.153,0.477,0.776,0.844,1.008,1.252,1.736
non-man prod,2021,221363500,1.315,0.843,0.779,0.867,1.025,1.29,2.495